CellReference,OS_ID,Prolific_ID,Age,GenderWORD,GenderNUM,Occupation,HighestEducationLevelTEXT,OtherIfApplicable,HighestEducationLevelTEXT2,HighestEducationLevelNUM,CompExpertiseText,CompExpertiseNUM,GEN_ATTITUDE_REVERSED,NR1,NR2,NR3,NR4,NR5,NR6,NR7,NR8,NR9,NR10,NR11,NR12,NR13,NR14,NR15,NR16,PR1,PR2,PR3,PR4,PR5,PR6,PR7,PR8,PR9,PR10,PR11,PR12,PR13,PR14,PR15,PR16,GENERALATTUNREVERSED,N9,N13,P13,N14,N15,P14,N16,P15,P16,P9,P10,N10,N11,P11,N12,P12,N1,P5,N5,P6,N6,P7,N7,N8,P8,P1,N2,P2,N3,P3,N4,P4,COMFORTABLENESS,Scom1,Scom2,Scom3,Scom4,Scom5,Scom6,Scom7,Scom8,Scom9,Scom10,Scom11,Scom12,Scom13,Scom14,Scom15,Scom16,Scom17,Scom18,Scom19,Scom20,Scom21,Scom22,Scom23,Scom24,Scom25,Scom26,Scom27,Scom28,Scom29,Scom30,Scom31,Scom32,Scom33,Scom34,Scom35,Scom36,Scom37,Scom38,Scom39,Scom40,Scom41,Scom42,CAPABILITY,Scap1,Scap2,Scap3,Scap4,Scap5,Scap6,Scap7,Scap8,Scap9,Scap10,Scap11,Scap12,Scap13,Scap14,Scap15,Scap16,Scap17,Scap18,Scap19,Scap20,Scap21,Scap22,Scap23,Scap24,Scap25,Scap26,Scap27,Scap28,Scap29,Scap30,Scap31,Scap32,Scap33,Scap34,Scap35,Scap36,Scap37,Scap38,Scap39,Scap40,Scap41,Scap42,TECHREADYUNREVERSED,TR1,TR2,TR3,TR4,TR5,TR6,TR7,TR8,TR9,TR10,TR11,TR12,TR13,TR14,TR15,TR16,TR17,TR18,TECHREADYREVERSED,TR1Innov,TR2Innov,TR3Innov,TR4Innov,TR5Opt,TR6Opt,TR7Opt,TR8Opt,TR9Discomf,TR10Discomf,TR11Discomf,TR12Discomf,TR13Insec,TR14Insec,TR15Insec,TR16Insec,TR17Insec,TR18Insec,END_TRI_REV,OpenComments,StartDate,CompletionDate,OVERALLS_Hereafter,PosGENATT,NegGENATT,ComfAIbigDataAutomation,ComfAIHumanJudg,CapAIforBigData,CapAIHumanJudg,TRI_INNOV,TRI_OPT,TRI_DISCOMF,TRI_INSEC
1.0,475005-474996-46946517,removed_to_protect_anonymity,23.0,Female,1.0,Sales assistant,Bachelor’s degree or equivale,NA,Bachelor’s degree or equivalent,4.0,"Average computer user, using the internet, standard applications etc.",3.0,,1.0,4.0,1.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,3.0,3.0,5.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,1.0,,3.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,1.0,3.0,4.0,3.0,3.0,4.0,5.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,5.0,5.0,2.0,3.0,4.0,,4.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,4.0,1.0,2.0,2.0,4.0,4.0,1.0,5.0,1.0,2.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,5.0,4.0,1.0,3.0,1.0,1.0,4.0,3.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,,3.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,3.0,5.0,3.0,3.0,5.0,4.0,5.0,,3.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,3.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,,,2019-05-09 09:31:26 UTC,2019-05-09 09:49:10 UTC,,3.416666667,2.75,2.769230769230769,1.3,1.75,1.0769230769230769,3.5,4.5,2.25,1.833333333
2.0,475005-474996-46946934,removed_to_protect_anonymity,39.0,female,1.0,event manager,Bachelor’s degree or equivale,NA,Bachelor’s degree or equivalent,4.0,User of specialist applications but not an IT specialist,4.0,,4.0,4.0,1.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,,2.0,2.0,4.0,2.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,5.0,2.0,2.0,4.0,,4.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,5.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,,4.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,5.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,,1.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,5.0,4.0,4.0,4.0,,1.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,2.0,2.0,2.0,,none,2019-05-09 09:39:10 UTC,2019-05-09 09:50:50 UTC,,3.833333333,3.75,4.3076923076923075,3.1,3.625,2.3076923076923075,1.75,4.0,2.0,2.5
3.0,475005-474996-46946737,removed_to_protect_anonymity,35.0,male,0.0,cyber security specialist,Other,Industry certifications,Other: Industry certifications,4.0,Professionally qualified computer scientist or IT specialist,6.0,,2.0,5.0,3.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,2.0,4.0,4.0,,2.0,4.0,5.0,3.0,4.0,2.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,1.0,4.0,3.0,4.0,2.0,5.0,,5.0,2.0,5.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,1.0,2.0,3.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,5.0,5.0,3.0,4.0,,3.0,1.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,1.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,2.0,4.0,2.0,4.0,1.0,5.0,4.0,3.0,4.0,,1.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,2.0,4.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0,5.0,,1.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,2.0,2.0,4.0,3.0,4.0,2.0,4.0,4.0,1.0,,Integration of AI into society is inevitable. The day will come where it will be very difficult to distinguish between human and AI. Integration will be practically absolute. There will be very strong opposition along the way.,2019-05-09 09:35:51 UTC,2019-05-09 09:52:19 UTC,,4.25,2.0,4.615384615384615,3.8,4.375,3.230769230769231,3.5,4.5,3.0,3.0
4.0,475005-474996-46946754,removed_to_protect_anonymity,48.0,male,0.0,graphic designer,A-level or equivalent,NA,A-level or equivalent,3.0,Professionally qualified computer scientist or IT specialist,6.0,,1.0,3.0,5.0,3.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,2.0,3.0,1.0,,1.0,5.0,5.0,3.0,2.0,2.0,5.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,3.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,5.0,3.0,5.0,,5.0,5.0,3.0,1.0,5.0,3.0,5.0,4.0,1.0,5.0,3.0,5.0,3.0,1.0,5.0,3.0,5.0,1.0,5.0,5.0,5.0,3.0,5.0,1.0,5.0,3.0,5.0,3.0,3.0,5.0,1.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,4.0,5.0,5.0,3.0,1.0,5.0,5.0,3.0,3.0,1.0,1.0,1.0,5.0,5.0,5.0,3.0,5.0,3.0,,4.0,5.0,5.0,3.0,1.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,1.0,3.0,,,2019-05-09 09:36:14 UTC,2019-05-09 09:55:42 UTC,,4.666666667,1.75,3.6153846153846154,3.9,5.0,5.0,4.25,3.5,4.5,1.666666667
5.0,475005-474996-46947268,removed_to_protect_anonymity,32.0,Male,0.0,Technical Support,A-level or equivalent,NA,A-level or equivalent,3.0,Professionally qualified computer scientist or IT specialist,6.0,,4.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,4.0,1.0,3.0,3.0,1.0,3.0,4.0,2.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,,3.0,4.0,4.0,2.0,5.0,3.0,3.0,4.0,1.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,3.0,1.0,4.0,3.0,4.0,3.0,3.0,1.0,4.0,3.0,3.0,4.0,,5.0,2.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,3.0,1.0,5.0,3.0,1.0,3.0,1.0,4.0,3.0,2.0,1.0,4.0,3.0,3.0,2.0,3.0,1.0,5.0,4.0,4.0,1.0,1.0,2.0,3.0,1.0,5.0,5.0,2.0,3.0,,3.0,1.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,4.0,1.0,1.0,2.0,1.0,5.0,1.0,3.0,1.0,1.0,5.0,1.0,1.0,3.0,3.0,4.0,4.0,2.0,3.0,1.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,3.0,,5.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,5.0,,5.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,1.0,,,2019-05-09 09:45:06 UTC,2019-05-09 09:56:01 UTC,,3.416666667,2.875,3.6153846153846154,1.8,3.75,1.3076923076923077,4.5,4.5,4.25,3.5
6.0,475005-474996-46947077,removed_to_protect_anonymity,23.0,Female,1.0,Residential Support Worker,A-level or equivalent,NA,A-level or equivalent,3.0,Considerable IT expertise short of full professional qualifications,5.0,,2.0,4.0,1.0,3.0,2.0,2.0,3.0,4.0,4.0,1.0,2.0,1.0,4.0,5.0,2.0,5.0,2.0,2.0,3.0,5.0,3.0,5.0,3.0,2.0,5.0,5.0,3.0,3.0,5.0,5.0,4.0,1.0,,2.0,2.0,5.0,1.0,4.0,5.0,1.0,4.0,1.0,5.0,5.0,5.0,4.0,3.0,5.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,3.0,5.0,,4.0,1.0,4.0,3.0,2.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,3.0,2.0,5.0,2.0,5.0,1.0,4.0,3.0,5.0,5.0,5.0,1.0,3.0,5.0,5.0,5.0,3.0,1.0,1.0,5.0,3.0,5.0,5.0,5.0,1.0,5.0,,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,2.0,1.0,3.0,4.0,5.0,1.0,3.0,3.0,4.0,5.0,5.0,1.0,1.0,3.0,5.0,4.0,3.0,1.0,1.0,3.0,1.0,2.0,5.0,5.0,1.0,4.0,,1.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0,4.0,4.0,,1.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,2.0,4.0,4.0,4.0,2.0,2.0,,,2019-05-09 09:41:51 UTC,2019-05-09 09:56:18 UTC,,3.75,3.125,4.615384615384615,2.9,3.875,1.6153846153846154,3.5,4.75,4.0,3.0
7.0,475005-474996-46947279,removed_to_protect_anonymity,30.0,female,1.0,Nurse specialist,Bachelor’s degree or equivale,NA,Bachelor’s degree or equivalent,4.0,User of specialist applications but not an IT specialist,4.0,,5.0,4.0,2.0,5.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,2.0,1.0,5.0,1.0,3.0,5.0,1.0,5.0,4.0,5.0,5.0,3.0,2.0,5.0,2.0,5.0,1.0,5.0,1.0,5.0,3.0,5.0,2.0,1.0,5.0,4.0,2.0,3.0,4.0,5.0,1.0,5.0,,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,2.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,2.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,5.0,4.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0,3.0,1.0,2.0,,,2019-05-09 09:45:17 UTC,2019-05-09 09:58:32 UTC,,4.916666667,4.5,4.923076923076923,4.5,5.0,4.461538461538462,5.0,5.0,3.25,2.5
8.0,475005-474996-46947622,removed_to_protect_anonymity,39.0,Male,0.0,Education Consultant,Master’s degree or equivalent,NA,Master’s degree or equivalent,5.0,"Average computer user, using the internet, standard applications etc.",3.0,,4.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,,2.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,,2.0,2.0,3.0,3.0,2.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,1.0,5.0,4.0,2.0,4.0,3.0,5.0,4.0,4.0,2.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,5.0,4.0,3.0,4.0,,2.0,2.0,5.0,3.0,1.0,3.0,4.0,2.0,3.0,4.0,5.0,4.0,3.0,5.0,1.0,5.0,2.0,3.0,4.0,3.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0,2.0,3.0,3.0,4.0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,5.0,4.0,2.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,,,2019-05-09 09:51:11 UTC,2019-05-09 09:59:21 UTC,,3.25,3.5,4.153846153846154,2.9,4.5,2.1538461538461537,4.0,3.5,2.5,2.833333333
9.0,475005-474996-46947508,removed_to_protect_anonymity,35.0,Female,1.0,Web designer,Master’s degree or equivalent,NA,Master’s degree or equivalent,5.0,Considerable IT expertise short of full professional qualifications,5.0,,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,,4.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,,3.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,,,2019-05-09 09:49:17 UTC,2019-05-09 09:59:55 UTC,,3.0,2.75,2.769230769230769,2.4,2.5,2.923076923076923,3.5,3.25,2.5,2.666666667
10.0,475005-474996-46947103,removed_to_protect_anonymity,30.0,Male,0.0,Director,Bachelor’s degree or equivale,NA,Bachelor’s degree or equivalent,4.0,Considerable IT expertise short of full professional qualifications,5.0,,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,1.0,2.0,5.0,2.0,4.0,3.0,2.0,4.0,5.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,5.0,1.0,,2.0,4.0,4.0,1.0,4.0,1.0,2.0,5.0,1.0,5.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,2.0,5.0,4.0,5.0,3.0,4.0,2.0,5.0,4.0,2.0,5.0,,5.0,1.0,4.0,4.0,4.0,2.0,4.0,1.0,5.0,5.0,5.0,5.0,1.0,4.0,1.0,4.0,2.0,1.0,5.0,1.0,4.0,5.0,2.0,3.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,2.0,4.0,5.0,2.0,5.0,5.0,1.0,4.0,,3.0,1.0,4.0,2.0,2.0,2.0,4.0,2.0,5.0,4.0,5.0,5.0,1.0,2.0,1.0,5.0,1.0,4.0,2.0,1.0,2.0,4.0,1.0,2.0,5.0,5.0,5.0,1.0,4.0,1.0,5.0,5.0,4.0,5.0,4.0,4.0,2.0,1.0,5.0,5.0,2.0,5.0,,4.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,2.0,5.0,1.0,2.0,1.0,1.0,5.0,1.0,5.0,5.0,,4.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,1.0,5.0,4.0,5.0,5.0,1.0,5.0,1.0,1.0,,"Enjoyed the survey.  Just one thing, I would have used 'radio buttons' for the answers instead of 'checkboxes' for user convenience.    Many thanks!",2019-05-09 09:42:23 UTC,2019-05-09 09:59:57 UTC,,4.333333333,2.375,4.615384615384615,2.5,4.625,2.230769230769231,3.75,4.75,3.5,3.0
