CellReference,OS_ID,Prolific_ID,Age,GenderWORD,GenderNUM,Occupation,HighestEducationLevelTEXT,OtherIfApplicable,HighestEducationLevelTEXT2,HighestEducationLevelNUM,CompExpertiseText,CompExpertiseNUM,GEN_ATTITUDE_REVERSED,NR1,NR2,NR3,NR4,NR5,NR6,NR7,NR8,NR9,NR10,NR11,NR12,NR13,NR14,NR15,NR16,PR1,PR2,PR3,PR4,PR5,PR6,PR7,PR8,PR9,PR10,PR11,PR12,PR13,PR14,PR15,PR16,GENERALATTUNREVERSED,N9,N13,P13,N14,N15,P14,N16,P15,P16,P9,P10,N10,N11,P11,N12,P12,N1,P5,N5,P6,N6,P7,N7,N8,P8,P1,N2,P2,N3,P3,N4,P4,COMFORTABLENESS,Scom1,Scom2,Scom3,Scom4,Scom5,Scom6,Scom7,Scom8,Scom9,Scom10,Scom11,Scom12,Scom13,Scom14,Scom15,Scom16,Scom17,Scom18,Scom19,Scom20,Scom21,Scom22,Scom23,Scom24,Scom25,Scom26,Scom27,Scom28,Scom29,Scom30,Scom31,Scom32,Scom33,Scom34,Scom35,Scom36,Scom37,Scom38,Scom39,Scom40,Scom41,Scom42,CAPABILITY,Scap1,Scap2,Scap3,Scap4,Scap5,Scap6,Scap7,Scap8,Scap9,Scap10,Scap11,Scap12,Scap13,Scap14,Scap15,Scap16,Scap17,Scap18,Scap19,Scap20,Scap21,Scap22,Scap23,Scap24,Scap25,Scap26,Scap27,Scap28,Scap29,Scap30,Scap31,Scap32,Scap33,Scap34,Scap35,Scap36,Scap37,Scap38,Scap39,Scap40,Scap41,Scap42,TECHREADYUNREVERSED,TR1,TR2,TR3,TR4,TR5,TR6,TR7,TR8,TR9,TR10,TR11,TR12,TR13,TR14,TR15,TR16,TR17,TR18,TECHREADYREVERSED,TR1Innov,TR2Innov,TR3Innov,TR4Innov,TR5Opt,TR6Opt,TR7Opt,TR8Opt,TR9Discomf,TR10Discomf,TR11Discomf,TR12Discomf,TR13Insec,TR14Insec,TR15Insec,TR16Insec,TR17Insec,TR18Insec,END_TRI_REV,OpenComments,StartDate,CompletionDate,OVERALLS_Hereafter,PosGENATT,NegGENATT,ComfAIbigDataAutomation,ComfAIHumanJudg,CapAIforBigData,CapAIHumanJudg,TRI_INNOV,TRI_OPT,TRI_DISCOMF,TRI_INSEC
1,475005-474996-46946517,removed_to_protect_anonymity,23,Female,1,Sales assistant,Bachelor’s degree or equivale,NA,Bachelor’s degree or equivalent,4,"Average computer user, using the internet, standard applications etc.",3, ,1,4,1,3,3,3,4,2,3,3,3,1,3,2,1,3,3,5,2,4,3,4,3,3,3,4,4,3,4,3,4,1, ,3,3,4,4,5,3,3,4,1,3,4,3,3,4,5,3,5,3,3,4,3,3,2,4,3,3,2,5,5,2,3,4, ,4,1,2,1,2,2,1,1,1,2,3,4,1,4,1,2,2,4,4,1,5,1,2,3,3,3,4,1,1,1,2,2,3,1,1,2,1,1,3,3,1,2, ,2,1,3,1,1,1,1,1,1,3,1,3,1,3,1,1,1,5,4,1,3,1,1,4,3,5,2,1,1,1,2,1,2,1,1,2,1,1,2,2,1,1, ,3,4,4,3,5,4,4,5,3,5,4,3,5,3,3,5,4,5, ,3,4,4,3,5,4,4,5,3,1,2,3,1,3,3,1,2,1, , ,2019-05-09 09:31:26 UTC,2019-05-09 09:49:10 UTC, ,3.416666667,2.75,2.76923076923077,1.3,1.75,1.07692307692308,3.5,4.5,2.25,1.833333333
2,475005-474996-46946934,removed_to_protect_anonymity,39,female,1,event manager,Bachelor’s degree or equivale,NA,Bachelor’s degree or equivalent,4,User of specialist applications but not an IT specialist,4, ,4,4,1,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,2,4,4,4,4,4,4,4,4,3,4,3,4,2, ,2,2,4,2,4,3,2,4,2,4,4,2,2,4,2,3,2,4,2,4,2,4,4,2,4,4,2,4,5,2,2,4, ,4,2,4,4,4,4,2,2,4,4,4,4,4,5,2,5,2,2,4,2,4,2,4,4,5,5,5,5,4,4,4,5,5,4,2,4,4,4,5,5,4,5, ,4,2,4,2,2,2,4,3,3,4,2,4,2,5,2,4,2,2,4,2,4,2,2,4,3,4,4,3,4,2,4,4,3,2,2,4,2,2,4,4,2,4, ,1,2,2,2,4,4,4,4,4,4,4,4,2,2,5,4,4,4, ,1,2,2,2,4,4,4,4,2,2,2,2,4,4,1,2,2,2, ,none,2019-05-09 09:39:10 UTC,2019-05-09 09:50:50 UTC, ,3.833333333,3.75,4.30769230769231,3.1,3.625,2.30769230769231,1.75,4,2,2.5
3,475005-474996-46946737,removed_to_protect_anonymity,35,male,0,cyber security specialist,Other,Industry certifications,Other: Industry certifications,4,Professionally qualified computer scientist or IT specialist,6, ,2,5,3,4,2,1,1,2,4,2,3,1,2,3,2,2,3,4,4,5,4,5,4,4,5,3,5,4,5,2,4,4, ,2,4,5,3,4,2,4,4,4,5,3,4,3,5,5,4,4,4,4,5,5,4,5,4,4,3,1,4,3,4,2,5, ,5,2,5,4,4,4,4,3,2,3,5,5,4,3,4,4,4,1,2,3,4,4,4,2,4,5,5,4,5,5,5,5,5,4,4,4,4,2,5,5,3,4, ,3,1,4,2,2,4,4,4,2,4,5,5,1,4,3,4,4,4,3,3,5,5,3,5,4,5,5,4,5,3,5,5,4,2,4,2,4,1,5,4,3,4, ,1,5,4,4,3,5,5,5,2,4,4,2,3,2,4,2,2,5, ,1,5,4,4,3,5,5,5,4,2,2,4,3,4,2,4,4,1, ,Integration of AI into society is inevitable. The day will come where it will be very difficult to distinguish between human and AI. Integration will be practically absolute. There will be very strong opposition along the way.,2019-05-09 09:35:51 UTC,2019-05-09 09:52:19 UTC, ,4.25,2,4.61538461538461,3.8,4.375,3.23076923076923,3.5,4.5,3,3
4,475005-474996-46946754,removed_to_protect_anonymity,48,male,0,graphic designer,A-level or equivalent,NA,A-level or equivalent,3,Professionally qualified computer scientist or IT specialist,6, ,1,3,5,3,1,5,1,1,5,1,1,1,1,3,4,1,5,5,5,5,3,5,5,5,5,5,5,1,5,2,3,1, ,1,5,5,3,2,2,5,3,1,5,5,5,5,5,5,1,5,3,5,5,1,5,5,5,5,5,3,5,1,5,3,5, ,5,5,3,1,5,3,5,4,1,5,3,5,3,1,5,3,5,1,5,5,5,3,5,1,5,3,5,3,3,5,1,5,3,3,5,3,5,5,3,5,5,3, ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5, ,4,5,5,3,1,5,5,3,3,1,1,1,5,5,5,3,5,3, ,4,5,5,3,1,5,5,3,3,5,5,5,1,1,1,3,1,3, , ,2019-05-09 09:36:14 UTC,2019-05-09 09:55:42 UTC, ,4.666666667,1.75,3.61538461538462,3.9,5,5,4.25,3.5,4.5,1.666666667
5,475005-474996-46947268,removed_to_protect_anonymity,32,Male,0,Technical Support,A-level or equivalent,NA,A-level or equivalent,3,Professionally qualified computer scientist or IT specialist,6, ,4,3,2,3,3,3,2,3,3,1,2,2,2,4,1,3,3,1,3,4,2,4,1,4,4,4,4,4,4,3,4,1, ,3,4,4,2,5,3,3,4,1,4,4,5,4,4,4,4,2,2,3,4,3,1,4,3,4,3,3,1,4,3,3,4, ,5,2,5,4,3,1,1,1,1,3,4,1,1,3,1,5,3,1,3,1,4,3,2,1,4,3,3,2,3,1,5,4,4,1,1,2,3,1,5,5,2,3, ,3,1,4,1,1,2,3,1,1,3,4,1,1,2,1,5,1,3,1,1,5,1,1,3,3,4,4,2,3,1,5,3,3,1,1,1,1,1,4,4,1,3, ,5,5,4,4,3,5,5,5,1,4,1,1,1,1,4,1,3,5, ,5,5,4,4,3,5,5,5,5,2,5,5,5,5,2,5,3,1, , ,2019-05-09 09:45:06 UTC,2019-05-09 09:56:01 UTC, ,3.416666667,2.875,3.61538461538462,1.8,3.75,1.30769230769231,4.5,4.5,4.25,3.5
6,475005-474996-46947077,removed_to_protect_anonymity,23,Female,1,Residential Support Worker,A-level or equivalent,NA,A-level or equivalent,3,Considerable IT expertise short of full professional qualifications,5, ,2,4,1,3,2,2,3,4,4,1,2,1,4,5,2,5,2,2,3,5,3,5,3,2,5,5,3,3,5,5,4,1, ,2,2,5,1,4,5,1,4,1,5,5,5,4,3,5,3,4,3,4,5,4,3,3,2,2,2,2,2,5,3,3,5, ,4,1,4,3,2,4,5,4,3,5,5,5,5,5,1,5,3,2,5,2,5,1,4,3,5,5,5,1,3,5,5,5,3,1,1,5,3,5,5,5,1,5, ,1,1,1,1,1,2,3,2,2,3,3,3,3,3,1,4,2,1,3,4,5,1,3,3,4,5,5,1,1,3,5,4,3,1,1,3,1,2,5,5,1,4, ,1,5,4,4,5,4,5,5,3,3,1,1,4,2,2,2,4,4, ,1,5,4,4,5,4,5,5,3,3,5,5,2,4,4,4,2,2, , ,2019-05-09 09:41:51 UTC,2019-05-09 09:56:18 UTC, ,3.75,3.125,4.61538461538461,2.9,3.875,1.61538461538462,3.5,4.75,4,3
7,475005-474996-46947279,removed_to_protect_anonymity,30,female,1,Nurse specialist,Bachelor’s degree or equivale,NA,Bachelor’s degree or equivalent,4,User of specialist applications but not an IT specialist,4, ,5,4,2,5,5,3,4,5,4,3,4,4,5,5,3,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4, ,2,1,5,1,3,5,1,5,4,5,5,3,2,5,2,5,1,5,1,5,3,5,2,1,5,4,2,3,4,5,1,5, ,5,4,5,5,5,4,4,4,4,5,5,5,5,5,3,5,5,2,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5, ,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,2,4,5,5,5,4,4,5,5,5,5,5,4,5,5,5,4,4,4,4,4,5,5,4,5, ,5,5,5,5,5,5,5,5,2,4,3,2,3,2,4,3,5,4, ,5,5,5,5,5,5,5,5,4,2,3,4,3,4,2,3,1,2, , ,2019-05-09 09:45:17 UTC,2019-05-09 09:58:32 UTC, ,4.916666667,4.5,4.92307692307692,4.5,5,4.46153846153846,5,5,3.25,2.5
8,475005-474996-46947622,removed_to_protect_anonymity,39,Male,0,Education Consultant,Master’s degree or equivalent,NA,Master’s degree or equivalent,5,"Average computer user, using the internet, standard applications etc.",3, ,4,3,2,4,3,3,3,4,4,3,3,2,4,4,3,4,3,3,3,3,1,4,3,4,4,4,3,3,4,2,3,2, ,2,2,4,2,3,2,2,3,2,4,4,3,3,3,4,3,2,1,3,4,3,3,3,2,4,3,3,3,4,3,2,3, ,2,2,3,3,2,4,4,2,3,3,4,4,3,4,1,5,4,2,4,3,5,4,4,2,5,4,5,3,4,4,4,4,4,2,2,3,2,2,5,4,3,4, ,2,2,5,3,1,3,4,2,3,4,5,4,3,5,1,5,2,3,4,3,5,3,3,5,3,5,5,2,3,3,4,4,4,1,1,3,2,2,5,4,2,4, ,4,4,4,4,4,4,3,3,3,3,4,4,4,3,3,3,3,3, ,4,4,4,4,4,4,3,3,3,3,2,2,2,3,3,3,3,3, , ,2019-05-09 09:51:11 UTC,2019-05-09 09:59:21 UTC, ,3.25,3.5,4.15384615384615,2.9,4.5,2.15384615384615,4,3.5,2.5,2.833333333
9,475005-474996-46947508,removed_to_protect_anonymity,35,Female,1,Web designer,Master’s degree or equivalent,NA,Master’s degree or equivalent,5,Considerable IT expertise short of full professional qualifications,5, ,3,2,3,3,3,2,2,3,2,3,3,3,3,2,3,4,3,4,3,3,2,4,3,3,3,3,4,3,3,2,2,3, ,4,3,3,4,3,2,2,2,3,3,3,3,3,4,3,3,3,2,3,4,4,3,4,3,3,3,4,4,3,3,3,3, ,3,2,4,4,2,2,2,2,4,3,4,3,4,4,1,2,2,2,2,3,2,2,3,2,3,3,2,3,3,2,3,2,3,3,3,3,2,3,3,2,2,3, ,3,2,2,3,3,3,3,2,2,3,2,2,3,3,4,3,3,3,3,3,2,3,2,3,3,3,3,3,3,2,3,4,2,3,3,2,3,3,2,2,3,3, ,4,4,3,3,3,3,4,3,4,3,4,3,3,3,4,3,4,3, ,4,4,3,3,3,3,4,3,2,3,2,3,3,3,2,3,2,3, , ,2019-05-09 09:49:17 UTC,2019-05-09 09:59:55 UTC, ,3,2.75,2.76923076923077,2.4,2.5,2.92307692307692,3.5,3.25,2.5,2.666666667
10,475005-474996-46947103,removed_to_protect_anonymity,30,Male,0,Director,Bachelor’s degree or equivale,NA,Bachelor’s degree or equivalent,4,Considerable IT expertise short of full professional qualifications,5, ,1,2,1,4,1,1,1,2,4,4,4,1,2,5,2,4,3,2,4,5,4,5,2,5,5,5,5,5,4,1,5,1, ,2,4,4,1,4,1,2,5,1,5,5,2,2,5,5,5,5,4,5,5,5,2,5,4,5,3,4,2,5,4,2,5, ,5,1,4,4,4,2,4,1,5,5,5,5,1,4,1,4,2,1,5,1,4,5,2,3,5,5,5,3,5,3,5,5,5,5,2,4,5,2,5,5,1,4, ,3,1,4,2,2,2,4,2,5,4,5,5,1,2,1,5,1,4,2,1,2,4,1,2,5,5,5,1,4,1,5,5,4,5,4,4,2,1,5,5,2,5, ,4,5,4,2,5,5,5,4,2,5,1,2,1,1,5,1,5,5, ,4,5,4,2,5,5,5,4,4,1,5,4,5,5,1,5,1,1, ,"Enjoyed the survey.  Just one thing, I would have used 'radio buttons' for the answers instead of 'checkboxes' for user convenience.    Many thanks!",2019-05-09 09:42:23 UTC,2019-05-09 09:59:57 UTC, ,4.333333333,2.375,4.61538461538461,2.5,4.625,2.23076923076923,3.75,4.75,3.5,3
