,Component 1,Component 2
Scap1,0.196496139993426,0.17458843599497922
Scap4,0.20827961341435905,0.14868162849068703
Scap6,0.2588955711285688,0.1300331874296998
Scap7,0.26930909771723166,-0.09250932978049596
Scap8,0.2704989003192788,0.1715199708975806
Scap10,0.21889234295129198,-0.14101659911827805
Scap11,0.22546430311184765,-0.17387983196382756
Scap15,0.1787652821812855,0.3256416960112433
Scap16,0.2684507596279961,-0.24001520580745128
Scap19,0.19772888321415566,-0.06319229801671199
Scap20,0.21415615687742737,0.30987508185017965
Scap25,0.16734838369615918,0.046459150417955085
Scap26,0.20644831541996517,-0.3292496897190992
Scap27,0.24911873155046024,-0.3131017501761265
Scap30,0.14138964064824253,0.20253215965484433
Scap31,0.19381339322288874,-0.22385940201665744
Scap32,0.23978383619921845,-0.018888517699557322
Scap36,0.1859981358431894,0.08956788021078084
Scap37,0.19195594009604539,0.2542723880006473
Scap38,0.20283117818182936,0.3335235348404342
Scap40,0.23923656382728833,-0.3078002932487297
