,Component 1,Component 2
Scom3,0.2165327307237157,-0.16501235111071832
Scom6,0.2061774145480183,0.24931521628233635
Scom7,0.24839065894039536,-0.12441037896951013
Scom8,0.22207969369362937,0.1313973284026103
Scom11,0.19225224370635471,-0.181033379366969
Scom12,0.21089657287196745,-0.19720334883173504
Scom13,0.16222486927378138,0.24297369627817442
Scom14,0.1452591731095696,-0.1253999299952007
Scom15,0.20069150055759138,0.2804268236131403
Scom16,0.2615353476562912,-0.2264070420177228
Scom17,0.1808277856231499,0.18173850166130054
Scom20,0.16988883017963927,0.3774907200518053
Scom21,0.17104586923256773,-0.29690300291728866
Scom22,0.18378260943846444,0.1872299247121704
Scom27,0.20309824261120682,-0.12410350904770433
Scom28,0.2161665310879707,0.22736369442034055
Scom29,0.20934807819676274,-0.13268467574743148
Scom31,0.20645387893219472,-0.2547275679877362
Scom32,0.24799464308043223,-0.09287596075679899
Scom33,0.2552732925649738,-0.009845245870503562
Scom36,0.17165848340773313,0.15138757255610294
Scom37,0.21314678562745518,0.2994539747688233
Scom40,0.2479306109150494,-0.17863673909376057
